"Địa điểm","MÃ","TÊN TOUR","DANH MỤC TOUR","THỜI GIAN","PHƯƠNG TIỆN","GIÁ NGƯỜI LỚN","GIÁ TRẺ EM","MÔ TẢ NGẮN","LỊCH TRÌNH","BAO GỒM","KHÔNG BAO GỒM","TỪ KHÓA","ĐIỀU KHOẢN","ẢNH TOUR"
"SAPA","SP01","Sapa: Chinh phục Đỉnh Fansipan 2N1Đ","Tour Miền Bắc","2 ngày 1 đêm","Xe giường nằm","1.850.000 đ","1.300.000 đ","Hành trình khám phá thị trấn sương mù Sapa, trải nghiệm văn hóa bản Cát Cát và chinh phục ""Nóc nhà Đông Dương"" Fansipan bằng cáp treo.","N1: - 06:30: Xe đón tại Hà Nội đi Sapa theo cao tốc Nội Bài - Lào Cai. - 12:30: Đến Sapa, ăn trưa, nhận phòng khách sạn - 14:30: Tham quan bản Cát Cát, tìm hiểu văn hóa người H'Mông. - 18:30: Ăn tối lẩu thắng cố/đồ nướng. Tự do dạo chợ đêm Sapa. N2: - 07:00: Ăn sáng tại khách sạn. - 08:00: Xe đưa đến ga cáp treo chinh phục đỉnh Fansipan. - 12:00: Trả phòng, ăn trưa. - 13:30: Tự do mua sắm đặc sản tại thị trấn. - 15:30: Lên xe về lại Hà Nội. 21:30: Đến Hà Nội, kết thúc tour.","- Xe giường nằm khứ hồi Hà Nội - Sapa. - Khách sạn 3 sao (2-3 khách/phòng). - Các bữa ăn theo chương trình (2 bữa trưa, 1 bữa tối, 1 bữa sáng). - Vé tham quan bản Cát Cát.","- Vé cáp treo Fansipan (theo giá niêm yết Sun World). - Thuế VAT (8%). - Tiền tip cho HDV và lái xe. - Chi phí cá nhân, đồ uống ngoài chương trình.","sapa, fansipan, ban cat cat, xe giuong nam, tour 2n1d","- Trẻ em dưới 5 tuổi: Miễn phí (bố mẹ tự lo chi phí phát sinh). - Hủy từ 2-4 ngày: Phạt 50% tiền tour.","sp01-1.jpg
sp01-2.webp"
"","SP02","Sapa: Bản Cát Cát - Ta Van - Moana Check-in 3N2Đ","Tour Miền Bắc","3 ngày 2 đêm","Xe giường nằm / Limousine","2.650.000 đ","1.900.000 đ","Trải nghiệm Sapa thong dong 3N2Đ, hòa mình vào cuộc sống đồng bào H'Mông, Giáy và check-in sống ảo Moana.","N1: Hà Nội - Sapa - Moana Sapa (Ăn T/T). N2: Bản Cát Cát - Thác Tiên Sa - Đốt lửa trại (Ăn S/T/T). N3: Bản Tả Van - Về Hà Nội (Ăn S/T).","Xe khứ hồi, KS 3 sao, các bữa ăn theo lịch trình, vé tham quan Moana & Cát Cát, HDV.","Vé cáp treo Fansipan, thuế VAT, đồ uống, tiền tip.","sapa, cat cat, ta van, moana, tour 3n2d","Trẻ em <5t miễn phí; Hủy trước 3 ngày phạt 50%.","sp02-1.jpg
sp02-2.webp"
"","SP03","Sapa Trekking: Lao Chải - Tả Van - Bản Hồ 2N1Đ","Tour Miền Bắc","2 ngày 1 đêm","Xe ô tô & Đi bộ (Trekking)","1.950.000 đ","1.400.000 đ","Tour du lịch trải nghiệm trekking xuyên qua những thửa ruộng bậc thang tuyệt đẹp ở thung lũng Mường Hoa.","N1: Hà Nội - Sapa - Trekking Lao Chải - Tả Van - Nghỉ Homestay (Ăn T/T). N2: Tả Van - Bản Hồ - Xe đón về trung tâm Sapa - Về Hà Nội (Ăn S/T).","Xe khứ hồi, ngủ Homestay bản indigenous, các bữa ăn bản địa, vé trekking, HDV tuyến bản.","Chi phí ba lô riêng, tiền tip cho HDV bản địa, thuế VAT.","sapa, trekking, lao chai, ta van, homestay, tour 2n1d","Trẻ em <5t không khuyến khích tham gia trekking; Hủy trước 3 ngày phạt 50%.","sp03-1.png
sp03-2.jpg"
"","SP04","Sapa: Khám Phá Đèo Ô Quy Hồ - Cầu Kính Rồng Mây 1 Ngày","Tour Miền Bắc","1 ngày","Xe ô tô du lịch","650.000 đ","500.000 đ","Thử thách lòng dũng cảm trên Cầu Kính Rồng Mây và đón hoàng hôn thơ mộng trên đỉnh đèo Ô Quy Hồ.","08:30: Đón tại khách sạn Sapa. 09:00: Trải nghiệm Cầu Kính Rồng Mây. 12:00: Ăn trưa thắng cố/gà nướng. 14:00: Thác Bạc - Thác Tình Yêu. 16:30: Check-in Cổng Trời Ô Quy Hồ ngắm hoàng hôn. 18:00: Trả khách.","Xe di chuyển các điểm, vé tham quan Cầu Kính Rồng Mây, ăn trưa, HDV.","Chi phí trò chơi cảm giác mạnh tại Cầu Kính, thuế VAT.","sapa, o quy ho, cau kinh rong may, thac bac, tour 1 ngay","Trẻ em <5t miễn phí; Hủy trước 12h phạt 30%.","sp04-1.jpg
sp04-2.jpg"
"","SP05","Sapa High-End: Nghỉ Dưỡng Resort 5 Star - Fansipan VIP 3N2Đ","Tour Miền Bắc","3 ngày 2 đêm","Xe Cabin VIP / Limousine","4.850.000 đ","3.650.000 đ","Tour nghỉ dưỡng cao cấp tại Resort 5 sao chuẩn quốc tế, trải nghiệm Fansipan lối đi ưu tiên VIP và ẩm thực Tây Bắc cao cấp.","N1: Hà Nội - Sapa bằng Xe Cabin VIP - Check-in Resort 5 sao - Ăn tối Steak/Lẩu cá hồi (Ăn T/T). N2: Vé VIP Fansipan (không chờ đợi) - Chiều thư giãn Spa lá thuốc - Ăn tối buffet (Ăn S/T/T). N3: Tự do trải nghiệm bể bơi vô cực - Mua sắm - Về Hà Nội (Ăn S/T).","Xe Cabin VIP khứ hồi, Resort 5 sao (Silk Path/Hotel de la Coupole), vé Fansipan VIP, các bữa ăn cao cấp, HDV.","Dịch vụ Spa ngoài gói, đồ uống có cồn, thuế VAT, tiền tip.","sapa, resort 5 sao, fansipan vip, xe cabin, luxury tour 3n2d","Trẻ em <5t miễn phí (dùng chung giường); Hủy trước 7 ngày phạt 50%; Hủy trong 3 ngày phạt 100%.","sp05-1.jpg
sp05-2.jfif"
"","SP06","Sapa Trekking Chuyên Sâu: Lao Chải - Tả Van - Giang Tà Lình 2N1Đ","Tour Miền Bắc","2 ngày 1 đêm","Xe giường nằm & Trekking","1.750.000 đ","1.250.000 đ","Đốt cháy năng lượng với cung đường trekking đi qua những bản làng hoang sơ, trải nghiệm làm dệt vải dứa và ngủ Homestay.","N1: Hà Nội - Sapa - Đi bộ từ Y Tý/Mường Hoa qua Lao Chải - Tả Van - Ăn tối & Ngủ Homestay bản địa (Ăn T/T). N2: Tả Van - Giang Tà Lình - Thăm xưởng dệt thổ cẩm - Xe đón về trung tâm - Về Hà Nội (Ăn S/T).","Xe giường nằm khứ hồi, Homestay chuẩn bản địa, các bữa ăn theo tour, HDV trekking địa phương, vé tham quan bản.","Chi phí thuê ba lô/gậy trekking riêng, thuế VAT, tiền tip HDV bản địa.","sapa, trekking, lao chai, ta van, giang ta linh, homestay 2n1d","Trẻ em <6t không khuyến khích trekking; Hủy trước 3 ngày phạt 50%.","sp06-1.webp
sp06-2.jpg"
"","SP07","Sapa: Săn Mây Hang Đá - Đỉnh Ô Quy Hồ - Thác Tình Yêu 1 Ngày","Tour Miền Bắc","1 ngày","Xe ô tô du lịch","700.000 đ","520.000 đ","Tour ngắn ngày chuyên săn mây tại đỉnh Hang Đá và ngoạn cảnh hoàng hôn uốn lượn trên đèo Ô Quy Hồ.","07:30: Đón tại KS đi Thung lũng Hàng Láng / Hang Đá săn mây. 11:30: Ăn trưa thắng cố/gà bản. 13:30: Khám phá Thác Tình Yêu & Trạm Tôn. 16:30: Ngắm hoàng hôn Cổng Trời Ô Quy Hồ. 18:30: Trả khách.","Xe đưa đón đời mới, vé tham quan Thác Tình Yêu & Cổng Trời, ăn trưa đặc sản, HDV, nước uống.","Chi phí đồ uống tại điểm ngắm hoàng hôn, thuế VAT, chi phí cá nhân.","sapa, san may hang da, o quy ho, thac tinh yeu, tour 1 ngay","Trẻ em <5t miễn phí; Hủy trước 12h phạt 30%.","sp07-1.png
sp07-2.jpg"
"","SP08","Trekking Sapa: Chinh Phục Đỉnh Bạch Mộc Lương Tử (Ky Quan San) 3N2Đ","Tour Miền Bắc","3 ngày 2 đêm","Xe giường nằm & Trekking","3.250.000 đ","Không áp dụng (<14t)","Thử thách bản thân chinh phục đỉnh núi cao thứ 4 Việt Nam - Ky Quan San, săn biển mây bồng bềnh huyền thoại.","N1: Hà Nội đi Lào Cai - Xe đưa đến chân núi Ky Quan San - Trekking lên trạm dừng 2.100 m (Ăn S/T/T). N2: Chinh phục đỉnh Ky Quan San 3.046m săn mây - Hạ sơn về lại mốc 2.100m (Ăn S/T/T). N3: Về chân núi - Xe đưa về Sapa tắm lá thuốc - Lên xe về Hà Nội (Ăn S/T).","Xe khứ hồi, Poster vác đồ cá nhân, thủ tục cấp phép climbing, lều/lán nghỉ trên núi, các bữa ăn, HDV leo núi.","Balo & trang phục leo núi cá nhân, tiền tip bắt buộc cho Porter/HDV, thuế VAT.","sapa, trekking, bach moc luong tu, ky quan san, san may, tour 3n2d","Chỉ nhận khách từ 14-60 tuổi có sức khỏe tốt; Hủy trước 5 ngày phạt 50%; Hủy trong 3 ngày phạt 100%.","sp08-1.jpg
sp08-2.webp"
"","SP09","Sapa Luxury: Xe Limousine - Cáp Treo Fansipan - Tả Phìn 2N1Đ","Tour Miền Bắc","2 ngày 1 đêm","Xe Limousine 9 chỗ","2.950.000 đ","2.200.000 đ","Trải nghiệm Sapa thong dong trên xe VIP Limousine, tắm lá thuốc người Dao Đỏ tại bản Tả Phìn và chinh phục Fansipan.","N1: Hà Nội - Sapa bằng Limousine - Thăm Bản Tả Phìn & Tắm lá thuốc người Dao Đỏ (Ăn T/T). N2: Cáp treo Fansipan - Check-in Moana - Lên Limousine về Hà Nội (Ăn S/T).","Xe Limousine 9 chỗ khứ hồi, KS 4 sao trung tâm, vé cáp treo Fansipan, suất tắm lá thuốc Dao Đỏ, các bữa ăn, HDV.","Chi phí mua thuốc lá Dao mang về, chi phí cá nhân, thuế VAT.","sapa, limousine, ta phin, tam la thuoc, fansipan, tour 2n1d","Trẻ em <5t miễn phí; Hủy trước 3 ngày phạt 50%; Hủy trong 24h phạt 100%.",""
"","SP10","Sapa: Chinh Phục Đỉnh Fansipan 2N1Đ","Tour Miền Bắc","2 ngày 1 đêm","Xe giường nằm","1.850.000 đ","1.300.000 đ","Hành trình khám phá thị trấn sương mù Sapa, trải nghiệm văn hóa bản Cát Cát và chinh phục ""Nóc nhà Đông Dương"" Fansipan.","N1: Hà Nội - Sapa - Bản Cát Cát (Ăn T/T). N2: Ga cáp treo Fansipan - Mua sắm - Về Hà Nội (Ăn S/T).","Xe giường nằm khứ hồi, KS 3 sao, các bữa ăn theo chương trình, vé bản Cát Cát, HDV.","Vé cáp treo Fansipan, thuế VAT, tiền tip, chi phí cá nhân.","sapa, fansipan, ban cat cat, xe giuong nam, tour 2n1d","Trẻ em <5t miễn phí; Hủy từ 2-4 ngày phạt 50%; Hủy trong 24h phạt 100%.",""
